data,ipca_monitor_0,var_ipc_fipe,ipca_monitor_11,ipca_focus,ipca_monitor_1,consu_energia_residencia_log_1_diff_lag2,var_ipc_br,var_ipca_15,ipca_monitor_5,BRL_USD_log_1_diff_lag4,var_livres_bacen_lag1,consu_energia_comercial_log_1_diff_lag1,U_S__Treasury_10_years_nominal_yield_1_diff,consu_energia_outros_log_1_diff_lag4,caged_saldo_nordeste_1_diff_lag1,PNAD_DESOC_2_diff_lag1,consume_confidence_1_diff_lag3,U_S__Treasury_10_years_nominal_yield_1_diff_lag2,consu_energia_brasil_total_log_1_diff_lag1,consu_energia_brasil_total_log_1_diff_lag3,BRL_USD_log_1_diff_lag3,PNAD_DESOC_2_diff_lag3,DXY_log_1_diff_lag4,NOAA_Index_1_diff,BRL_USD_log_1_diff,consu_energia_outros_log_1_diff_lag3,PNAD_DESOC_2_diff_lag4,caged_saldo_nordeste_1_diff_lag3,caged_saldo_nordeste_1_diff_lag2,var_livres_bacen_lag4,var_ipca_bacen
2014-06-01,0.4,0.04,-0.6,0.35,-0.11,-0.046136235,0.33,0.47,0.37,-0.000572372,0.42,-0.038145909,0.0545,0.041544314,8687,-0.1,-10.61,-0.0721,-0.012504611,-0.033791453,-0.023693347,0.4,-0.004904696,0.0,0.006436942,-0.04850396,0.4,-44609,11252,0.78,0.4
2014-07-01,0.01,0.16,-0.51,0.12,-0.15,0.008957903,0.1,0.17,-0.98,-0.023693347,0.44,-0.062423199,0.0274,-0.04850396,6527,-0.2,-5.53,-0.17,-0.035772955,-0.016954865,-0.041465986,-0.1,-0.007381344,-0.2,-0.005003425,-0.031848249,0.4,11252,8687,1.2,0.01
2014-08-01,0.25,0.34,-0.61,0.23,-0.15,-0.052372928,0.12,0.14,0.33,-0.041465986,-0.1,-0.013054824,-0.2147,-0.031848249,6591,0.1,-10.77,0.0545,0.003730508,-0.012504611,-0.00451344,-0.1,2.75e-05,0.1,0.019003794,0.002177373,-0.1,8687,6527,0.64,0.25
2014-09-01,0.57,0.21,0.76,0.44,0.78,0.031939414,0.49,0.39,0.63,-0.00451344,0.17,0.031393364,0.1457,0.002177373,36066,0.0,-2.11,0.0274,0.01790202,-0.035772955,0.006436942,-0.2,0.001719484,0.1,0.030131051,-0.019939829,-0.1,6527,6591,0.42,0.57
2014-10-01,0.42,0.37,0.48,0.49,0.46,-0.020572371,0.43,0.48,0.39,0.006436942,0.62,0.027797204,-0.1535,-0.019939829,20950,-0.1,2.18,-0.2147,0.008883668,0.003730508,-0.005003425,0.1,0.00578044,0.3,0.047788368,0.004257862,-0.2,6591,36066,0.44,0.42
2014-11-01,0.51,0.69,0.97,0.58,0.77,0.012942701,0.65,0.38,0.43,-0.005003425,0.43,0.057985298,-0.1713,0.004257862,-54486,-0.2,0.99,0.1457,0.030510627,0.01790202,0.019003794,0.0,0.001080746,0.1,0.040311575,0.017186607,0.1,36066,20950,-0.1,0.51
2014-12-01,0.78,0.3,0.96,0.76,1.08,0.052044714,0.75,0.79,1.38,0.019003794,0.45,0.046066263,0.0072,0.017186607,2688,-0.1,8.38,-0.1535,0.020999896,0.008883668,0.030131051,-0.1,0.01622997,0.1,0.036333675,0.02832864,0.0,20950,-54486,0.17,0.78
2015-01-01,1.24,1.62,1.74,1.21,1.48,0.021401163,1.73,0.89,1.83,0.030131051,0.88,-0.014908678,-0.5305,0.02832864,-62258,0.0,-3.1,-0.1713,-0.027554999,0.030510627,0.047788368,-0.2,0.030234005,-0.2,-0.004260382,0.040886949,-0.1,-54486,2688,0.62,1.24
2015-02-01,1.22,1.22,0.74,1.07,0.81,-0.019607602,0.97,1.33,2.2,0.047788368,0.87,0.027619129,0.3523,0.040886949,19016,0.3,0.17,0.0072,0.022830909,0.020999896,0.040311575,-0.1,0.015466332,0.0,0.067385947,-0.012075737,-0.2,2688,-62258,0.43,1.22
2015-03-01,1.32,0.7,1.17,1.4,1.17,0.117932354,1.41,1.24,0.46,0.040311575,0.88,0.001732031,-0.0699,-0.012075737,4483,0.6,-3.04,-0.5305,-0.000957325,-0.027554999,0.036333675,0.0,0.023547395,0.0,0.10985167,-0.026216335,-0.1,-62258,19016,0.45,1.32
