,lags,params,mean_squared_error,max_depth,n_estimators
36,[1 2 3],"{'max_depth': 5, 'n_estimators': 50}",0.010304053983842638,5,50
231,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 5, 'n_estimators': 200}",0.010308525680054935,5,200
287,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 15, 'n_estimators': 200}",0.010310403731884046,15,200
283,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 200}",0.010310403731884046,10,200
137,[1 2 3 4 5 6 7 8 9],"{'max_depth': 10, 'n_estimators': 100}",0.01031080362318841,10,100
141,[1 2 3 4 5 6 7 8 9],"{'max_depth': 15, 'n_estimators': 100}",0.01031080362318841,15,100
230,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],"{'max_depth': 5, 'n_estimators': 150}",0.010317980288896342,5,150
295,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 5, 'n_estimators': 200}",0.010328453933793388,5,200
372,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 50}",0.01033063871062484,5,50
134,[1 2 3 4 5 6 7 8 9],"{'max_depth': 5, 'n_estimators': 150}",0.010332330464706727,5,150
214,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'max_depth': 5, 'n_estimators': 150}",0.010334890206390569,5,150
277,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 5, 'n_estimators': 100}",0.010342134436234638,5,100
293,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 5, 'n_estimators': 100}",0.01034307388379782,5,100
52,[1 2 3 4],"{'max_depth': 5, 'n_estimators': 50}",0.010347737825619225,5,50
244,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 5, 'n_estimators': 50}",0.010356736518308023,5,50
373,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],"{'max_depth': 5, 'n_estimators': 100}",0.01036599717343718,5,100
314,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 10, 'n_estimators': 150}",0.010366207793880837,10,150
318,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 150}",0.010366207793880837,15,150
319,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 15, 'n_estimators': 200}",0.010390917318840584,15,200
315,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20],"{'max_depth': 10, 'n_estimators': 200}",0.010390917318840584,10,200
351,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 15, 'n_estimators': 200}",0.010394848768115948,15,200
347,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22],"{'max_depth': 10, 'n_estimators': 200}",0.010394848768115948,10,200
185,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 10, 'n_estimators': 100}",0.010396936811594204,10,100
303,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 15, 'n_estimators': 200}",0.010402141050724635,15,200
299,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 10, 'n_estimators': 200}",0.0104047684057971,10,200
189,[ 1  2  3  4  5  6  7  8  9 10 11 12],"{'max_depth': 15, 'n_estimators': 100}",0.01040592347826087,15,100
294,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],"{'max_depth': 5, 'n_estimators': 150}",0.010407225328971152,5,150
241,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 3, 'n_estimators': 100}",0.010409107546724071,3,100
242,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16],"{'max_depth': 3, 'n_estimators': 150}",0.010417310329489,3,150
276,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 5, 'n_estimators': 50}",0.010419248933535033,5,50
282,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 150}",0.010423867117552324,10,150
286,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 15, 'n_estimators': 150}",0.010423867117552324,15,150
281,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 10, 'n_estimators': 100}",0.010427640869565217,10,100
285,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18],"{'max_depth': 15, 'n_estimators': 100}",0.010427640869565217,15,100
334,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 15, 'n_estimators': 150}",0.010429761352656997,15,150
330,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 10, 'n_estimators': 150}",0.010429761352656997,10,150
329,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 10, 'n_estimators': 100}",0.010440653768115935,10,100
333,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'max_depth': 15, 'n_estimators': 100}",0.010440653768115935,15,100
41,[1 2 3],"{'max_depth': 10, 'n_estimators': 100}",0.010449044492753629,10,100
45,[1 2 3],"{'max_depth': 15, 'n_estimators': 100}",0.010449044492753629,15,100
